id,name,zip,sate
0001012,Estancia Suri Yaco,T4174XBW,Tucumán
0001013,Los Timbres,T4147XAG,Tucumán
0001014,San Carlos,T4124XBY,Tucumán
0001015,Escuela 350,T4101XAS,Tucumán
0001016,Escuela 287,T4152XBH,Tucumán
0001017,Escuela 60,Buscar CPA,tucuman
0001018,Tuscal,T4155XAA,Tucumán
0001019,Villa Belgrano,T4158XAD,Tucumán
0001020,Escuela 177,T4187XBO,Tucumán
0001021,Los Zaragoza,T4103XAM,Tucumán
0001022,Los Vallistos,T4109XAD,Tucumán
0001023,Escuela 348,T4128XAW,Tucumán
0001024,Los Pinos B,T4000XAB,Tucumán
0001025,La Toma,T4119XAB,Tucumán
0001026,Colonia Santa Marina,Buscar CPA,tucuman
0001027,San Jose de Macomita,T4117XAH,Tucumán
0001028,Padilla,T4133XAB,Tucumán
0001029,Saladillo,T4146XBT,Tucumán
0001030,Angostura,T4124XAB,Tucumán
0001031,Tucumán,T4115XBH,Agua Azul
0001032,Escuela 1,T4168XDX,Tucumán
0001033,San Ramon Chicligasta,T4149XAH,Tucumán
0001034,San Agustin,T4186XAI,Tucumán
0001035,Quinteros 1,T4144XAA,Tucumán
0001036,Escuela 309,T4124XDW,Tucumán
0001037,Barrio Casino,Buscar CPA,tucuman
0001038,Los Godoy,T4186XAG,Tucumán
0001039,El Tobar,T4172XAP,Tucumán
0001040,El Divisadero,T4158XAF,Tucumán
0001041,Mariño,T4117XAR,Tucumán
0001042,Cejas de Beñachillos,T4178XAW,Tucumán
0001043,Colonia Fara,T4147XAA,Tucumán
0001044,Retiro,T4162XAH,Tucumán
0001045,El Tuscal,T4157XAF,Tucumán
0001046,Tucumán,T4124XDR,El Molino
0001047,Abra Rica,T4178XFA,Tucumán
0001048,Escuela Cnel Geronimo Helguera,T4172XCA,Tucumán
0001049,Escuela 118,T4146XAF,Tucumán
0001050,La Invernada,T4158XBQ,Tucumán
0001051,Pueblo Viejo,T4164XAH,Tucumán
0001052,Santa Monica,T4135XAI,Tucumán
0001053,Escuela 103,T4168XDZ,Tucumán
0001054,La Grama,T4174XAS,Tucumán
0001055,Escuela 221,T4124XAQ,Tucumán
0001056,Puesto Chico,T4111XBQ,Tucumán
0001057,Arbolitos,G4322XBH,Santiago del Estero
0001058,La Aguadita,T4101XBF,Tucumán
0001059,Kilometro 784,T4184XAF,Tucumán
0001060,El Moyar,T4168XAE,Tucumán
0001061,Escuela 185,T4168XEO,Tucumán
0001062,Hoyada,T4105XCO,Tucumán
0001063,Tucumán,T4119XBA,Pacara
0001064,La Bolsa,T4137XEO,Tucumán
0001065,Tucumán,T4124XFA,El Chorro
0001066,Blanco Pozo,G4184XBK,Santiago del Estero
0001067,Acos,G4176XAD,Santiago del Estero
0001068,Alto el Puesto,T4159XAK,Tucumán
0001069,El Bañado,T4141XAC,Tucumán
0001070,Escuela 179,T4176XAH,Tucumán
0001071,Cortaderal,T4111XAS,Tucumán
0001072,El Churqui,T4158XAV,Tucumán
0001073,Campana,T4111XCD,Tucumán
0001074,El Aserradero,T4117XAB,Tucumán
0001075,Escuela 154,T4132XBF,Tucumán
0001076,Campo Volante,Buscar CPA,tucuman
0001077,Ojo de Agua,T4107XAJ,Tucumán
0001078,Tucumán,T4174XBV,La Florida
0001079,Escuela 182,T4176XAJ,Tucumán
0001080,Moras Minucas,T4152XAG,Tucumán
0001081,El Brete,T4124XDN,Tucumán
0001082,La Tipa,T4157XAN,Tucumán
0001083,El Infiernillo,T4137XCZ,Tucumán
0001084,Talamuyo,T4158XAC,Tucumán
0001085,Colonia Nro 2,Buscar CPA,tucuman
0001086,Escuela 219,T4101XAO,Tucumán
0001087,Pampa Larga,T4159XAI,Tucumán
0001088,Villa Alberdi,T4158XBR,Tucumán
0001089,Tucumán,T4117XAB,El Aserradero
0001090,Yunca Suma,T4146XAP,Tucumán
0001091,Escuela 34,Buscar CPA,tucuman
0001092,Las Higueritas,T4144XAE,Tucumán
0001093,Las Higuerillas,T4144XAC,Tucumán
0001094,Embalse el Cadillal,Buscar CPA,tucuman
0001095,Escuela 290,T4142XBK,Tucumán
0001096,Colonia Santa Lucia,Buscar CPA,tucuman
0001097,Gobernador Nouges,T4111XAA,Tucumán
0001098,Escuela 89,T4162XBT,Tucumán
0001099,Montuoso,T4242XBK,Tucumán
0001100,Campo Bello,T4159XAJ,Tucumán
0001101,El Bracho,Buscar CPA,Tucumán
0001102,Ahi Veremos,T4115XAJ,Tucumán
0001103,Pichao,T4141XAN,Tucumán
0001104,Potrero,A4195XAA,Salta
0001105,Escuela de Manualidades Ouanta,T4128XBA,Tucumán
0001106,Kilometro 1248,T4166XAG,Tucumán
0001107,Ingenio Santa Lucia,T4135XAK,Tucumán
0001108,Escuela 344,Buscar CPA,tucuman
0001109,Tucumán,T4105XBS,Los Aguirre
0001110,Tucumán,T4152XBP,Los Agudos
0001111,Taco Ralo,Buscar CPA,Tucumán
0001112,Escuela 263,T4158XBB,Tucumán
0001113,Ruta Provincial 301,T4128XBM,Tucumán
0001114,Duraznos Blancos,T4135XAD,Tucumán
0001115,El Cercado,T4142XAW,Tucumán
